msisdn,tower_id,up_bytes,down_bytes,data_type,ip_address,website_url,event_datetime
9724515726732,1800,787119,662662,application,221.128.139.195,http://www.kelly-williams.biz/,2024-01-01 01:01:15.291148
7974863911673,367,577314,752955,text,74.95.164.138,https://sanchez.com/,2024-01-01 01:05:14.044900
5218053519952,221,182157,862642,image,202.35.212.167,http://www.lee.com/,2024-01-01 00:58:15.001261
0634022265499,164,726928,616966,application,143.161.135.88,https://padilla.com/,2024-01-01 01:04:13.897142
7154877565360,1050,570312,939577,application,195.231.100.171,https://brown.org/,2024-01-01 00:52:45.761024
6997078949857,787,361380,643331,text,128.225.53.69,https://www.stein-gibson.com/,2024-01-01 00:55:53.371238
6205456044274,216,340189,251812,image,161.196.210.34,https://bowen.com/,2024-01-01 01:05:10.792951
0220346367474,873,342574,189218,text,192.77.156.23,https://livingston-ellis.com/,2024-01-01 01:05:46.697642
1074185088019,1251,597057,572678,audio,17.213.240.47,https://poole.com/,2024-01-01 00:55:26.467579
3857004879009,1130,626202,639239,text,200.155.234.171,http://smith.com/,2024-01-01 01:00:03.615447
8857397104275,73,538392,825808,image,205.192.120.234,https://www.edwards-taylor.com/,2024-01-01 00:57:24.848919
3761782130191,49,781617,761739,video,77.10.21.225,https://www.hughes.com/,2024-01-01 01:01:40.310397
2931995918926,1910,948000,688171,text,17.33.236.194,https://www.steele.com/,2024-01-01 00:58:05.990999
9078172366903,816,175115,801052,application,65.176.193.252,https://hall.com/,2024-01-01 00:56:16.711971
7290998313248,346,788010,361088,text,101.48.94.120,https://jackson.biz/,2024-01-01 01:06:01.399487
4604397541500,887,381628,931146,image,163.155.30.95,http://martinez.biz/,2024-01-01 01:02:28.611591
0092760751580,1741,185798,617595,text,101.101.162.141,http://www.newman-flores.com/,2024-01-01 00:50:19.850845
7468483463548,1605,727991,749894,video,194.68.39.178,http://james-stanley.net/,2024-01-01 00:53:01.070179
6718726225146,1873,477005,804240,application,53.10.33.72,http://www.jenkins.info/,2024-01-01 00:59:24.405875
4955033244309,532,925731,292077,image,215.51.42.226,https://www.wright.com/,2024-01-01 00:50:54.524332
7975899369491,390,284111,695281,image,181.123.88.12,http://www.gibson.com/,2024-01-01 01:06:21.616281
8251654973724,1732,658559,371671,application,194.209.157.115,https://www.trujillo.com/,2024-01-01 01:06:26.860938
3238322556175,248,509995,387885,image,173.149.54.66,https://www.montoya-watkins.com/,2024-01-01 01:04:50.650013
7915995830197,454,813134,224138,application,59.147.24.1,http://dunn.info/,2024-01-01 01:04:37.240543
0392892484066,436,538511,598487,text,119.31.127.125,http://lara.com/,2024-01-01 01:01:33.130829
6369282364731,395,972916,278760,image,203.177.67.177,http://www.jackson-moss.com/,2024-01-01 00:53:28.728306
1244335166510,471,977075,229238,application,101.212.212.176,https://rogers.biz/,2024-01-01 00:54:23.763703
2984152957641,1626,342929,314948,video,218.148.227.52,http://www.allen.com/,2024-01-01 01:02:38.598177
0359170642799,817,986825,570237,image,61.42.139.86,http://www.hayes.com/,2024-01-01 00:59:16.512332
6746952841768,1646,349759,273389,image,195.255.226.101,http://lamb-clark.net/,2024-01-01 01:03:33.336327
8874444279041,711,359820,207480,video,148.187.98.78,http://www.young.com/,2024-01-01 00:55:45.319495
3968466003769,1486,299793,601030,application,198.175.55.30,https://www.carroll.info/,2024-01-01 00:59:44.963583
7546184235753,1245,951970,247584,audio,181.175.134.185,https://brooks.com/,2024-01-01 01:06:46.555821
7264191976520,1316,416975,245832,application,29.247.223.147,https://chase.net/,2024-01-01 01:06:30.342769
2182635460750,441,659401,327001,video,202.146.135.169,https://martin-weiss.org/,2024-01-01 01:06:22.663490
6279051990328,1026,998961,166126,application,142.144.64.229,https://www.greene-hart.com/,2024-01-01 00:54:17.178763
4254835593713,927,507397,347489,image,154.71.253.149,https://www.jones.biz/,2024-01-01 01:02:03.943634
3670808985300,1457,730562,251839,audio,96.167.160.24,http://www.holt.com/,2024-01-01 00:56:41.885983
9194719206994,1368,231671,732928,audio,169.80.17.176,https://www.mccullough.com/,2024-01-01 00:56:50.530837
7556769299166,472,660003,153856,application,211.218.184.101,https://irwin.com/,2024-01-01 01:03:11.383110
7265578691151,891,556809,780018,application,138.114.62.9,http://solomon.biz/,2024-01-01 00:53:08.316243
8674413969340,1501,517152,751708,audio,215.68.241.67,https://www.ford.com/,2024-01-01 01:02:52.631059
8230184725149,165,791043,730436,text,138.186.85.3,https://sheppard.com/,2024-01-01 00:59:27.886972
4466575185979,513,705325,362487,image,18.243.23.134,http://barber-farley.info/,2024-01-01 00:51:33.214529
2876138692240,1573,869870,600412,text,208.209.113.36,http://davis-rice.com/,2024-01-01 00:51:17.286263
8269204681463,337,589024,867537,video,33.25.112.39,https://www.peterson-hernandez.com/,2024-01-01 00:53:47.992241
9919179017956,1127,897629,855201,video,188.200.65.46,http://www.byrd-williams.com/,2024-01-01 01:02:44.812670
8171220403395,1996,257731,557587,audio,28.61.239.138,https://stanley-reynolds.com/,2024-01-01 01:01:12.062074
9217412747616,333,586863,479429,video,195.235.107.150,http://whitehead-taylor.com/,2024-01-01 00:57:27.864574
0022784102249,1371,492126,991247,image,203.236.184.55,http://www.cooley.com/,2024-01-01 00:54:41.718752
5875247868170,87,187510,517274,application,71.157.41.203,http://anderson.com/,2024-01-01 00:58:21.786214
4756943033500,1192,626666,177069,image,63.252.119.6,https://www.flores-allison.org/,2024-01-01 01:06:53.455359
3897845369807,842,499218,597497,application,142.183.252.218,https://www.yang.info/,2024-01-01 00:50:18.490001
6683005568435,345,658494,589181,text,199.141.46.126,http://levine.com/,2024-01-01 00:50:18.164438
6258251669959,1239,744506,975989,audio,222.37.196.182,https://www.velasquez.com/,2024-01-01 00:59:40.054148
6964273900818,1469,990102,679908,audio,84.10.242.201,https://charles-kelly.com/,2024-01-01 00:54:55.160942
2099767901673,583,234187,983154,application,22.244.87.12,http://www.bryant.net/,2024-01-01 01:05:35.474727
1443973166048,257,992845,392331,video,168.138.41.243,https://martinez-george.biz/,2024-01-01 01:02:28.594794
3552486214992,1217,264968,323309,application,140.155.2.14,https://www.woodard.net/,2024-01-01 00:54:02.875424
4314207684381,1495,426114,572223,audio,202.40.242.85,http://butler.net/,2024-01-01 00:58:45.483983
7589569604279,1423,550744,329753,audio,198.12.193.212,https://www.patton.com/,2024-01-01 01:03:51.465455
2526605264281,1012,359769,508785,application,221.3.162.30,http://hubbard.biz/,2024-01-01 00:56:48.079753
2377292055778,1515,342589,929832,text,167.180.70.91,https://hanson.com/,2024-01-01 00:51:29.028186
4210053356030,1300,368604,928700,text,137.197.54.96,https://barker.info/,2024-01-01 00:54:54.362903
5436451939836,1326,791481,962956,image,151.11.23.39,http://fernandez.com/,2024-01-01 00:53:03.431740
9912959853969,1954,696573,139864,image,205.218.83.249,https://young.com/,2024-01-01 00:54:15.674281
6877770472144,1481,659833,679749,video,210.163.140.67,https://www.taylor.info/,2024-01-01 00:53:47.683084
8293414360428,1933,922771,455828,text,212.175.222.180,http://www.robinson.com/,2024-01-01 00:56:06.769961
7400335930643,1386,651242,512752,image,67.25.162.15,http://www.walker.com/,2024-01-01 00:56:12.410097
7931965660145,682,718142,330427,text,223.187.107.94,http://rice-boyle.com/,2024-01-01 01:00:00.910051
1059054852327,1606,732090,488118,application,57.176.78.31,http://stevens.com/,2024-01-01 00:50:36.909357
5000858967867,392,319539,793815,application,188.4.102.136,https://www.scott-fletcher.com/,2024-01-01 00:58:18.791785
8699293102789,1683,480628,829783,image,147.255.40.212,https://www.wagner.com/,2024-01-01 00:52:05.471842
3282972856842,181,850818,768960,text,219.30.136.253,https://www.morris.com/,2024-01-01 01:06:16.781652
1382522673940,1423,544561,889587,video,53.90.218.249,https://www.ortiz.net/,2024-01-01 01:03:33.948844
1599660446207,1060,695625,325272,image,198.209.46.53,http://contreras-curtis.org/,2024-01-01 00:57:29.079663
9296187191841,350,596009,160099,application,139.238.70.162,https://www.allen.com/,2024-01-01 01:06:58.681599
0447585415184,1986,198389,599461,application,222.228.194.187,http://www.thomas.com/,2024-01-01 00:51:37.936182
4435413746934,783,144502,964083,application,199.7.38.228,https://www.snow.com/,2024-01-01 00:54:01.628058
9831082253662,393,728773,154765,audio,157.139.135.181,http://jones-reed.com/,2024-01-01 01:06:06.350296
7154110306933,362,645752,266227,audio,87.244.111.93,https://www.ruiz.com/,2024-01-01 00:52:32.238754
9363295866095,521,593913,867708,application,170.110.239.191,http://www.galvan.com/,2024-01-01 01:05:41.136653
0048339760803,1265,753449,261230,image,149.73.190.114,https://huber-guzman.com/,2024-01-01 01:03:13.102056
3483008836546,1714,465533,557013,image,213.231.165.110,http://www.mendoza.com/,2024-01-01 01:02:18.191831
7463648691570,74,599923,892666,audio,200.115.88.178,https://www.rowland.com/,2024-01-01 00:56:16.470561
